Sex,Year,Mean BMI,,,Prevalence of BMI>=30 kg/m² (obesity),,,Prevalence of BMI>=35 kg/m² (severe obesity),,,Prevalence of BMI<18.5 kg/m² (underweight),,,Prevalence of BMI 18.5 kg/m² to <20 kg/m²,,,Prevalence of BMI 20 kg/m² to <25 kg/m²,,,Prevalence of BMI 25 kg/m² to <30 kg/m²,,,Prevalence of BMI 30 kg/m² to <35 kg/m²,,,Prevalence of BMI 35 kg/m² to <40 kg/m²,,,Prevalence of BMI >=40 kg/m²(morbid obesity)
Men,1975,25.28900402,,,0.107136122,,,0.01360259,,,0.018831101,,,0.046473755,,,0.464802896,,,0.362756126,,,0.093533532,,,0.011196955,,,0.002405635
Men,1976,25.34771879,,,0.110666103,,,0.014510412,,,0.018022079,,,0.044922094,,,0.460246749,,,0.366142976,,,0.096155691,,,0.011899194,,,0.002611217
Men,1977,25.40595955,,,0.114264798,,,0.015477478,,,0.017259834,,,0.043440408,,,0.455622532,,,0.369412429,,,0.09878732,,,0.012639865,,,0.002837613
Men,1978,25.46529245,,,0.11794365,,,0.016505312,,,0.016539614,,,0.042017216,,,0.450929786,,,0.372569734,,,0.101438338,,,0.013417689,,,0.003087624
Men,1979,25.527234,,,0.121724575,,,0.017605662,,,0.015860255,,,0.040649742,,,0.446146756,,,0.375618672,,,0.104118913,,,0.014242146,,,0.003363515
Men,1980,25.59231223,,,0.125626358,,,0.018783324,,,0.01521785,,,0.03932287,,,0.441270037,,,0.378562884,,,0.106843035,,,0.015115923,,,0.003667401
Men,1981,25.66244869,,,0.12972531,,,0.020064386,,,0.014608796,,,0.038023806,,,0.436220725,,,0.381421363,,,0.109660924,,,0.01605715,,,0.004007237
Men,1982,25.73790435,,,0.134047417,,,0.021448781,,,0.014025281,,,0.036749141,,,0.430993411,,,0.384184749,,,0.112598636,,,0.017065418,,,0.004383363
Men,1983,25.81829707,,,0.138570566,,,0.022944682,,,0.013471452,,,0.035508072,,,0.425605216,,,0.386844694,,,0.115625884,,,0.018144382,,,0.0048003
Men,1984,25.90340975,,,0.14330123,,,0.024562097,,,0.012949837,,,0.034301732,,,0.420055854,,,0.389391346,,,0.118739133,,,0.019300864,,,0.005261233
Men,1985,25.99341703,,,0.148250447,,,0.026307511,,,0.01246033,,,0.033134192,,,0.41436818,,,0.391786851,,,0.121942936,,,0.020537294,,,0.005770216
Men,1986,26.08770101,,,0.153409421,,,0.028184066,,,0.011998411,,,0.032005489,,,0.408554275,,,0.394032405,,,0.125225354,,,0.021853234,,,0.006330832
Men,1987,26.18557589,,,0.15878398,,,0.03019835,,,0.011566148,,,0.030913992,,,0.402632936,,,0.396102945,,,0.12858563,,,0.023249078,,,0.006949271
Men,1988,26.28749619,,,0.164362166,,,0.032359145,,,0.011161359,,,0.029859725,,,0.396617092,,,0.397999658,,,0.132003021,,,0.024730798,,,0.007628347
Men,1989,26.39380328,,,0.170136176,,,0.034679155,,,0.010780208,,,0.028845885,,,0.390545788,,,0.399691943,,,0.135457021,,,0.026302212,,,0.008376943
Men,1990,26.50458938,,,0.176103388,,,0.03715965,,,0.010421189,,,0.027866534,,,0.384395173,,,0.401213715,,,0.138943739,,,0.027960401,,,0.009199249
Men,1991,26.62073418,,,0.182365011,,,0.039841349,,,0.01007459,,,0.026908258,,,0.378068221,,,0.40258392,,,0.142523662,,,0.029733908,,,0.010107441
Men,1992,26.74141127,,,0.188895997,,,0.042727643,,,0.009739333,,,0.0259729,,,0.371580463,,,0.403811308,,,0.146168354,,,0.031619436,,,0.011108206
Men,1993,26.86555064,,,0.195690708,,,0.045818157,,,0.009415838,,,0.025063037,,,0.364986917,,,0.4048435,,,0.149872551,,,0.033618093,,,0.012200064
Men,1994,26.99272182,,,0.202719666,,,0.049118792,,,0.00910226,,,0.024177071,,,0.358316954,,,0.405684049,,,0.153600874,,,0.035727249,,,0.013391543
Men,1995,27.12153255,,,0.20994677,,,0.052630013,,,0.008798886,,,0.023319187,,,0.351588112,,,0.406347045,,,0.157316757,,,0.037943869,,,0.014686144
Men,1996,27.25068713,,,0.217326865,,,0.056322213,,,0.008505227,,,0.022494219,,,0.344858408,,,0.406815281,,,0.161004652,,,0.040239354,,,0.016082859
Men,1997,27.37964742,,,0.22486832,,,0.060197123,,,0.00822313,,,0.021701212,,,0.338142929,,,0.40706441,,,0.164671197,,,0.042613423,,,0.0175837
Men,1998,27.50787296,,,0.232511424,,,0.064237786,,,0.00795288,,,0.020939173,,,0.331474435,,,0.407122087,,,0.168273639,,,0.045058412,,,0.019179374
Men,1999,27.63537542,,,0.24024547,,,0.068438851,,,0.007695367,,,0.020211102,,,0.324881522,,,0.406966539,,,0.171806619,,,0.047572835,,,0.020866015
Men,2000,27.76170662,,,0.248030189,,,0.072776652,,,0.00744865,,,0.019513312,,,0.318401197,,,0.406606652,,,0.175253537,,,0.050141446,,,0.022635206
Men,2001,27.88524423,,,0.255742911,,,0.077198777,,,0.007217944,,,0.018858544,,,0.312130116,,,0.406050485,,,0.178544134,,,0.052723919,,,0.024474857
Men,2002,28.00486439,,,0.263360795,,,0.08169231,,,0.007003036,,,0.018242566,,,0.306089806,,,0.405303797,,,0.181668486,,,0.055316097,,,0.026376213
Men,2003,28.12022792,,,0.270887693,,,0.086257952,,,0.006800951,,,0.017659688,,,0.300246485,,,0.404405183,,,0.184629741,,,0.057918368,,,0.028339584
Men,2004,28.23063532,,,0.278322715,,,0.090870189,,,0.00661011,,,0.017108471,,,0.29460337,,,0.403355334,,,0.187452526,,,0.060510386,,,0.030359802
Men,2005,28.33478841,,,0.285671294,,,0.095525825,,,0.006429843,,,0.016587539,,,0.289162524,,,0.4021488,,,0.19014547,,,0.063091569,,,0.032434255
Men,2006,28.43304641,,,0.292944305,,,0.100228691,,,0.006259084,,,0.016092891,,,0.283900979,,,0.400802741,,,0.192715614,,,0.065673552,,,0.034555138
Men,2007,28.52403974,,,0.300161006,,,0.104987686,,,0.006096108,,,0.01562344,,,0.27879391,,,0.399325536,,,0.19517332,,,0.06826078,,,0.036726906
Men,2008,28.60709156,,,0.30733194,,,0.109809973,,,0.005940019,,,0.015175681,,,0.273836662,,,0.397715699,,,0.197521966,,,0.070848641,,,0.038961332
